Name,country,gender,Flights,total_flights,total_time
Zhang Xiaoguang,China,Man,Shenzhou 10 (2013),1,21028
Zhai Zhigang,China,Man,Shenzhou 7 (2008),1,4106
Yury Usachov,Russia,Man,"Soyuz TM-18 (1994), Soyuz TM-23 (1996), STS-101 (2000), STS-102 (2001)",4,796224
Yuri Shargin,Russia,Man,Soyuz TMA-5 (2004),1,14249
Yuri Romanenko,Soviet Union,Man,"Soyuz 26 (1977), Soyuz 38 (1980), Soyuz TM-2 (1987)",3,620301
Yuri Onufrienko,Russia,Man,"Soyuz TM-23 (1996), STS-108 (2001)",2,561046
Yuri Malyshev,Soviet Union,Man,"Soyuz T-2 (1980), Soyuz T-11 (1984)",2,17040
Yuri Malenchenko,Russia,Man,"Soyuz TM-19 (1994), STS-106 (2000), Soyuz TMA-2 (2003), Soyuz TMA-11 (2007), Soyuz TMA-05M (2012), Soyuz TMA-19M (2015)",6,1190002
Yuri Lonchakov,Russia,Man,"STS-100 (2001), Soyuz TMA-1 (2002), Soyuz TMA-13 (2008)",3,289119
Yuri Glazkov,Soviet Union,Man,Soyuz 24 (1977),1,25527
Yuri Gidzenko,Russia,Man,"Soyuz TM-22 (1995), Soyuz TM-31 (2000), Soyuz TM-34 (2002)",3,475127
Yuri Gagarin,Soviet Union,Man,Vostok 1 (1961),1,108
Yuri Baturin,Russia,Man,"Soyuz TM-28 (1998), Soyuz TM-32 (2001)",2,28425
Yuri Artyukhin,Soviet Union,Man,Soyuz 14 (1974),1,22650
Yi So-yeon,South Korea,Woman,Soyuz TMA-12 (2008),1,15673
Yevgeny Khrunov,Soviet Union,Man,Soyuz 5 (1969),1,2865
Yelena Serova,Russia,Woman,Soyuz TMA-14M (2014),1,240822
Yelena Kondakova,Russia,Woman,"Soyuz TM-20 (1994), STS-84 (1997)",2,256901
Yang Liwei,China,Man,Shenzhou 5 (2003),1,1282
Wubbo Ockels,Netherlands,Man,STS-61-A (1985),1,10124
Wang Yaping,China,Man,Shenzhou 10 (2013),1,21028
Vyacheslav Zudov,Soviet Union,Man,Soyuz 23 (1976),1,2886
Vladislav Volkov,Soviet Union,Man,"Soyuz 7 (1969), Soyuz 11 (1971)",2,41522
Vladimír Remek,Czechoslovakia,Man,Soyuz 28 (1978),1,11416
Vladimir Vasyutin,Soviet Union,Man,Soyuz T-14 (1985),1,93472
Vladimir Titov,Soviet Union,Man,"Soyuz T-8 (1983), Soyuz TM-4 (1987), STS-63 (1995), STS-86 (1997)",4,558765
Vladimir Solovyov,Soviet Union,Man,"Soyuz T-10 (1984), Soyuz T-15 (1986)",2,521210
Vladimir Shatalov,Soviet Union,Man,"Soyuz 4 (1969), Soyuz 8 (1969), Soyuz 10 (1971)",3,14277
Vladimir N. Dezhurov,Russia,Man,Soyuz TM-21 (1995),1,166123
Vladimir Lyakhov,Soviet Union,Man,"Soyuz 32 (1979), Soyuz T-9 (1983), Soyuz TM-6 (1988)",3,479988
Vladimir Kovalyonok,Soviet Union,Man,"Soyuz 25 (1977), Soyuz 29 (1978), Soyuz T-4 (1981)",3,311589
Vladimir Komarov,Soviet Union,Man,"Voskhod 1 (1964), Soyuz 1 (1967)",2,3064
Vladimir Dzhanibekov,Soviet Union,Man,"Soyuz 27 (1978), Soyuz 39 (1981), Soyuz T-6 (1982), Soyuz T-12 (1984), Soyuz T-13 (1985)",5,209758
Vladimir Aksyonov,Soviet Union,Man,"Soyuz 22 (1976), Soyuz T-2 (1980)",2,17051
Vitaliy Zholobov,Soviet Union,Man,Soyuz 21 (1976),1,70943
