Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm),Year,Group,Status,Birth Date,Birth Place,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Alan Bean,United States,Man,"Apollo 12 (1969), Skylab 3 (1973)",2,069:15:45,1963.0,3.0,Retired,3/15/1932,Texas,University of Texas,Aeronautical Engineering,0,Captain,US Navy (Retired),2,1671,3,10.0,"Apollo 12, Skylab 3",0,0
Alan G. Poindexter,United States,Man,"STS-122 (2008), STS-131 (2010)",2,027:21:09,1998.0,17.0,Deceased,11/5/1961,California,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0.0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/2012,0
Alfred Worden,United States,Man,Apollo 15 (1971),1,012:07:11,1966.0,5.0,Retired,2/7/1932,Michigan,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,0,0
Andrew J. Feustel,United States,Man,"STS-125 (2009), STS-134 (2011), Soyuz MS-08 (2018)",3,224:09:15,2000.0,18.0,Active,8/25/1965,Pennsylvania,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,0,0,2,687,6,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",0,0
Andrew M. Allen,United States,Man,"STS-46 (1992), STS-62 (1994), STS-75 (1996)",3,037:16:13,1987.0,12.0,Retired,8/4/1955,Pennsylvania,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0.0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",0,0
Andrew Thomas,United States,Man,"STS-77 (1996), STS-89 (1998), STS-102 (2001), STS-114 (2005)",4,177:09:14,1992.0,14.0,Management,12/18/1951,Australia,University of Adelaide,Mechanical Engineering,Mechanical Engineering,0,0,4,4257,1,6.0,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",0,0
Anthony W. England,United States,Man,STS-51-F (1985),1,007:22:45,1967.0,6.0,Retired,5/15/1942,Indiana,MIT,Geology,Geology; Geophysics,0,0,1,190,0,0.0,STS 51-F (Challenger),0,0
Barbara Morgan,United States,Woman,STS-118 (2007),1,012:17:56,1998.0,17.0,Retired,11/28/1951,California,Stanford University,Human Biology,0,0,0,1,305,0,0.0,STS-118 (Endeavor),0,0
Barry Wilmore,United States,Man,"STS-129 (2009), Soyuz TMA-14M (2014)",2,178:00:58,2000.0,18.0,Active,12/29/1962,Tennessee,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25.0,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",0,0
"Bernard A. Harris, Jr.",United States,Man,"STS-55 (1993), STS-63 (1995)",2,018:06:08,1990.0,13.0,Retired,6/26/1956,Texas,University of Houston; Texas Tech University,Biology,Medicine,0,0,2,438,1,5.0,"STS-55 (Columbia), STS-63 (Discovery)",0,0
